Date,Name,Year,Letterboxd URI,Rating
2024-12-15,Blood of the Condor,1969,https://boxd.it/4VK8,5
2024-12-15,Dead for a Dollar,2022,https://boxd.it/vOjI,3.5
2024-12-19,Dersu Uzala,1975,https://boxd.it/1XRO,5
2024-12-21,Vivre Sa Vie,1962,https://boxd.it/28s6,3.5
2024-12-23,The Spirit of the Beehive,1973,https://boxd.it/24eY,5
2024-12-25,The Manchurian Candidate,1962,https://boxd.it/299Y,4.5
2024-12-26,Heretic,2024,https://boxd.it/H1lY,1.5
2024-12-26,I Saw the TV Glow,2024,https://boxd.it/woVe,1
2024-12-27,The Zone of Interest,2023,https://boxd.it/gJsA,3
2024-12-28,Carol,2015,https://boxd.it/7DPK,5
2025-01-04,A Touch of Sin,2013,https://boxd.it/5Fvo,4.5
2025-01-04,Phoenix,2014,https://boxd.it/7u46,5
2025-01-06,Nosferatu,2024,https://boxd.it/f5eG,2.5
2025-01-06,The Fire Within: A Requiem for Katia and Maurice Krafft,2022,https://boxd.it/AUFg,4
2025-01-06,Challengers,2024,https://boxd.it/zld0,4
2025-01-11,Ran,1985,https://boxd.it/1Tlu,5
2025-01-15,Princess Mononoke,1997,https://boxd.it/2b4w,4
2025-01-22,In the Mood for Love,2000,https://boxd.it/29tE,5
2025-01-24,Los Angeles Plays Itself,2003,https://boxd.it/15xq,5
2025-01-24,"Paris, Texas",1984,https://boxd.it/29Ts,5
2025-01-27,Black Sabbath,1963,https://boxd.it/1qoa,4
2025-01-27,Marrowbone,2017,https://boxd.it/dZVC,3
2025-01-28,Rockers,1978,https://boxd.it/1LFm,5
2025-01-28,The Spook Who Sat by the Door,1973,https://boxd.it/bxY,5
2025-01-30,Sweet Sweetback's Baadasssss Song,1971,https://boxd.it/22xa,5
2025-01-30,Bring It On,2000,https://boxd.it/28x6,5
2025-01-31,Baadasssss!,2003,https://boxd.it/1pYc,5
2025-01-31,Killer of Sheep,1978,https://boxd.it/1rPc,5
2025-01-31,My Brother's Wedding,1983,https://boxd.it/3dBE,4
2025-02-01,The Seventh Seal,1957,https://boxd.it/2ahO,5
2025-02-02,La Belle Noiseuse,1991,https://boxd.it/1RxI,4
2025-02-02,Conclave,2024,https://boxd.it/AO8q,2
2025-02-02,Pickup on South Street,1953,https://boxd.it/1uLM,4
2025-02-02,White Dog,1982,https://boxd.it/Jtc,5
2025-02-03,"As Above, So Below",2014,https://boxd.it/7yui,4
2025-02-04,First Reformed,2017,https://boxd.it/go9C,4.5
2025-02-05,My Favourite Cake,2024,https://boxd.it/KU6K,4
2025-02-05,Blue Collar,1978,https://boxd.it/1Nhm,4
2025-02-06,Gone in 60 Seconds,1974,https://boxd.it/1Kvg,4
2025-02-07,The Other Side of the Wind,2018,https://boxd.it/9w5Y,3.5
2025-02-08,Soundtrack to a Coup d'Etat,2024,https://boxd.it/K5gk,5
2025-02-09,Bad Lieutenant,1992,https://boxd.it/1Src,5
2025-02-09,Compasso de Espera,1969,https://boxd.it/aFfU,4
2025-02-10,Other Side of the Box,2018,https://boxd.it/lXsa,3.5
2025-02-10,Soul in the Eye,1973,https://boxd.it/aFF4,4
2025-02-11,The Black Power Mixtape 1967-1975,2011,https://boxd.it/2ypM,3.5
2025-02-14,Rio Babilonia,1982,https://boxd.it/4Nu2,4.5
2025-02-15,Sucker Punch,2011,https://boxd.it/1yYg,1
2025-02-15,The Skeleton Key,2005,https://boxd.it/1XxE,3
2025-02-16,Spirited Away,2001,https://boxd.it/2b4m,4
2025-02-17,Alice in the Cities,1974,https://boxd.it/27cG,3.5
2025-02-18,The Seven Kittens,1980,https://boxd.it/5Eny,4.5
2025-02-18,Copacabana Mon Amour,1970,https://boxd.it/5Oh6,5
2025-02-18,Capitu and the Chapter,2021,https://boxd.it/uQpc,3.5
2025-02-20,The Steel Helmet,1951,https://boxd.it/M6K,4
2025-02-22,Den of Thieves,2018,https://boxd.it/g17e,3
2025-02-23,L.A. Confidential,1997,https://boxd.it/27oC,4
2025-02-23,Property Is No Longer a Theft,1973,https://boxd.it/4edg,4
2025-02-25,Under the Silver Lake,2018,https://boxd.it/dSAs,4
2025-02-26,Clockers,1995,https://boxd.it/1D7w,2.5
2025-03-01,Waiting for the Carnival,2019,https://boxd.it/l6HQ,4
2025-03-02,The Prestige,2006,https://boxd.it/293w,2
2025-03-02,Dreams Like Paper Boats,2024,https://boxd.it/KbD0,3.5
2025-03-09,Le Mans,1971,https://boxd.it/22lo,4.5
2025-03-10,Mad Max,1979,https://boxd.it/1Y7i,2
2025-03-10,Mad Max 2,1981,https://boxd.it/1ZPg,4
2025-03-10,Wicked,2024,https://boxd.it/e8ME,3.5
2025-03-15,Martyrs,2008,https://boxd.it/1Yqu,4.5
2025-03-17,The Butcher,1970,https://boxd.it/266C,4
2025-03-18,The Brood,1979,https://boxd.it/1ovS,4.5
2025-03-19,Assault on the Pay Train,1962,https://boxd.it/33Qu,4
2025-03-22,Z,1969,https://boxd.it/26pY,5
2025-03-23,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje,4
2025-03-24,Love Lies Bleeding,2024,https://boxd.it/zN4q,3
2025-03-25,"Spring, Summer, Fall, Winter... and Spring",2003,https://boxd.it/2b6W,4.5
2025-03-27,Hour of the Star,1985,https://boxd.it/XUQ,3.5
2025-04-01,The Matrix,1999,https://boxd.it/2a1m,4
2025-04-03,"White Out, Black In",2014,https://boxd.it/7Ac6,4
2025-04-04,La Jetée,1962,https://boxd.it/29Sk,5
2025-04-04,Isle of Flowers,1989,https://boxd.it/POU,5
2025-04-04,This Is Not Your Life,1991,https://boxd.it/aTAM,5
2025-04-04,Subterrâneos do Futebol,1965,https://boxd.it/cqK8,4.5
2025-04-04,Le Trou,1960,https://boxd.it/1nSw,4.5
2025-04-09,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2025-04-11,High Noon,1952,https://boxd.it/2aGa,4
2025-04-11,In a Lonely Place,1950,https://boxd.it/1JgO,4
2025-04-12,Death of a Cyclist,1955,https://boxd.it/2pjK,5
2025-04-12,Assault on Precinct 13,1976,https://boxd.it/1I2c,3.5
2025-04-12,Jamon Jamon,1992,https://boxd.it/24dQ,4.5
2025-04-14,The Day of the Jackal,1973,https://boxd.it/23GM,2.5
2025-04-14,Two-Lane Blacktop,1971,https://boxd.it/1sfE,5
2025-04-14,Fast Company,1979,https://boxd.it/15T2,1
2025-04-14,Embrace of the Serpent,2015,https://boxd.it/baba,4
2025-04-15,Zabriskie Point,1970,https://boxd.it/25Yy,5
2025-04-17,Stalker,1979,https://boxd.it/28PO,5
2025-04-18,Stroszek,1977,https://boxd.it/1Td6,4
2025-04-20,Diabolique,1955,https://boxd.it/29we,3.5
2025-04-21,A Lizard in a Woman's Skin,1971,https://boxd.it/9Sq,4.5
2025-04-21,The Watermelon Woman,1996,https://boxd.it/RRc,4.5
2025-04-22,The Devil's Advocate,1997,https://boxd.it/286k,3
2025-04-22,The Fly,1986,https://boxd.it/1YIe,4.5
2025-04-22,Ikarie XB 1,1963,https://boxd.it/1EzG,2
2025-04-26,Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/1SIs,4
2025-04-27,The Thing,1982,https://boxd.it/294O,4
2025-04-27,Zombie Flesh Eaters,1979,https://boxd.it/217q,4.5
2025-04-28,"Duck, You Sucker",1971,https://boxd.it/2ayU,4.5
2025-04-30,The Man Who Shot Liberty Valance,1962,https://boxd.it/1Tdg,4
2025-05-02,Black Bag,2025,https://boxd.it/KRbM,2.5
2025-05-02,Final Destination,2000,https://boxd.it/1YrC,2
2025-05-02,Final Destination 2,2003,https://boxd.it/1YSS,1.5
2025-05-02,Presence,2024,https://boxd.it/H88i,1
2025-05-04,The Hour and Turn of Augusto Matraga,1965,https://boxd.it/5RNO,5
2025-05-04,Me Beija,1984,https://boxd.it/oYro,3.5
2025-05-04,The Stepford Wives,1975,https://boxd.it/1Sfq,4
2025-05-04,The Dare,1965,https://boxd.it/5S7Y,5
2025-05-04,Kid,2015,https://boxd.it/bWxo,4
2025-05-05,The Margin,1967,https://boxd.it/5A0U,5
2025-05-08,Dreams,1990,https://boxd.it/1ROu,5
2025-05-11,Ashes and Diamonds,1958,https://boxd.it/23q0,3
2025-05-13,Samba Traoré,1992,https://boxd.it/75NK,3.5
2025-05-14,Araby,2017,https://boxd.it/fpKs,4
2025-05-15,Greice,2024,https://boxd.it/EnG4,5
2025-05-16,Blackmail,1929,https://boxd.it/2aao,3.5
2025-05-16,Downfall,2004,https://boxd.it/2a04,0.5
2025-05-16,Warfare,2025,https://boxd.it/LbRo,2
2025-05-25,Citizen Kane,1941,https://boxd.it/71O,4
2025-05-26,Ganja & Hess,1973,https://boxd.it/2UWe,5
2025-05-28,King of New York,1990,https://boxd.it/1Ynq,3.5
2025-05-31,Uptight,1968,https://boxd.it/41Ye,3.5
2025-06-02,One Cut of the Dead,2017,https://boxd.it/iAFu,5
2025-06-02,Phantom of the Paradise,1974,https://boxd.it/1s34,4
2025-06-03,Carlito's Way,1993,https://boxd.it/226e,4
2025-06-06,"Local Power, Popular Power",1970,https://boxd.it/lRjw,5
2025-06-06,About Extra Hours and Volunteer Work,1973,https://boxd.it/lRjG,4.5
2025-06-06,One Way or Another,1975,https://boxd.it/53UU,5
2025-06-07,Human Traffic,1999,https://boxd.it/1Uz8,3.5
2025-06-07,The Given Word,1962,https://boxd.it/h6Y,5
2025-06-09,Black Christmas,1974,https://boxd.it/1Js6,5
2025-06-10,Jacob's Ladder,1990,https://boxd.it/270g,2.5
2025-06-10,Red Rooms,2023,https://boxd.it/ym4c,4
2025-06-11,Menace II Society,1993,https://boxd.it/1Yuc,3.5
2025-06-12,Pickpocket,1959,https://boxd.it/29O8,4
2025-06-13,Golden Mouth,1963,https://boxd.it/4F8W,4
2025-06-13,The Devil's Own,1997,https://boxd.it/24he,2
2025-06-19,Juror #2,2024,https://boxd.it/FRwU,3
2025-06-22,Porto das Caixas,1963,https://boxd.it/5S88,4
2025-06-23,In the Heat of the Night,1967,https://boxd.it/1VLY,3.5
2025-06-24,Mandinga de Gorila,2024,https://boxd.it/PF9a,5
2025-06-24,Não Olhe Para Mim,2024,https://boxd.it/PQfS,5
2025-06-25,Obsession,1976,https://boxd.it/23QM,5
2025-06-27,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2025-06-30,City of the Living Dead,1980,https://boxd.it/1wMs,3
2025-06-30,Rabid Dogs,1974,https://boxd.it/232W,5
2025-06-30,Civil War,2024,https://boxd.it/z1jW,2.5
2025-07-04,Umberto D.,1952,https://boxd.it/29vg,5
2025-07-07,Dawn of the Dead,1978,https://boxd.it/29gU,5
2025-07-07,Persona,1966,https://boxd.it/29B4,5
