Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-25,The Spook Who Sat by the Door,1973,https://boxd.it/8Bk72b,5,,,2025-01-24
2025-01-27,Black Sabbath,1963,https://boxd.it/8CUhbt,4,,,2025-01-26
2025-01-27,Marrowbone,2017,https://boxd.it/8DcYth,3,,,2025-01-26
2025-01-28,Rockers,1978,https://boxd.it/8DxPkn,5,,,2025-01-27
2025-01-30,Sweet Sweetback's Baadasssss Song,1971,https://boxd.it/8Fi7fh,5,,,2025-01-29
2025-01-30,Bring It On,2000,https://boxd.it/8Fpkxx,5,,,2025-01-29
2025-01-31,Baadasssss!,2003,https://boxd.it/8FOMSt,5,,,2025-01-30
2025-01-31,Killer of Sheep,1978,https://boxd.it/8FSJlz,5,,,2025-01-30
2025-01-31,My Brother's Wedding,1983,https://boxd.it/8FWmcd,4,,,2025-01-30
2025-02-01,The Seventh Seal,1957,https://boxd.it/8GiQKD,5,,,2025-01-31
2025-02-02,La Belle Noiseuse,1991,https://boxd.it/8H3i8f,4,,,2025-02-01
2025-02-02,Conclave,2024,https://boxd.it/8Hbf4P,2,,,2025-02-01
2025-02-02,Pickup on South Street,1953,https://boxd.it/8HsNiv,4,,,2025-02-01
2025-02-02,White Dog,1982,https://boxd.it/8HxrQl,5,,,2025-02-01
2025-02-03,"As Above, So Below",2014,https://boxd.it/8Ipkgt,4,Yes,,2025-02-02
2025-02-04,First Reformed,2017,https://boxd.it/8J1spp,4.5,,,2025-02-03
2025-02-05,My Favourite Cake,2024,https://boxd.it/8JHs3x,4,,,2025-02-04
2025-02-05,Blue Collar,1978,https://boxd.it/8JM6Y7,4,,,2025-02-04
2025-02-06,Gone in 60 Seconds,1974,https://boxd.it/8KgXlR,4,,,2025-02-05
2025-02-07,The Other Side of the Wind,2018,https://boxd.it/8KTq1R,3.5,,,2025-02-06
2025-02-08,Soundtrack to a Coup d'Etat,2024,https://boxd.it/8LrmfD,5,,,2025-02-07
2025-02-09,Bad Lieutenant,1992,https://boxd.it/8LQErx,5,,,2025-02-08
2025-02-09,Compasso de Espera,1969,https://boxd.it/8LVrgr,4,,,2025-02-08
2025-02-09,Videodrome,1983,https://boxd.it/8MuT4N,5,Yes,,2025-02-09
2025-02-10,Other Side of the Box,2018,https://boxd.it/8MHPol,3.5,,,2025-02-09
2025-02-10,Soul in the Eye,1973,https://boxd.it/8MJHit,4,,,2025-02-09
2025-02-11,The Black Power Mixtape 1967-1975,2011,https://boxd.it/8NCB83,3.5,,,2025-02-10
2025-02-14,Rio Babilonia,1982,https://boxd.it/8P2qpt,4.5,,,2025-02-13
2025-02-15,Sucker Punch,2011,https://boxd.it/8PKJsp,1,,,2025-02-14
2025-02-15,The Skeleton Key,2005,https://boxd.it/8PPcKv,3,,,2025-02-14
2025-02-16,Spirited Away,2001,https://boxd.it/8QwJLn,4,,,2025-02-15
2025-02-17,Alice in the Cities,1974,https://boxd.it/8Ru313,3.5,,,2025-02-16
2025-02-18,The Seven Kittens,1980,https://boxd.it/8RUdHP,4.5,,,2025-02-17
2025-02-18,Copacabana Mon Amour,1970,https://boxd.it/8S2IJ9,5,,,2025-02-17
2025-02-18,Capitu and the Chapter,2021,https://boxd.it/8SfN7F,3.5,,,2025-02-17
2025-02-20,The Steel Helmet,1951,https://boxd.it/8Tw8MZ,4,,,2025-02-20
2025-02-22,Den of Thieves,2018,https://boxd.it/8UGHLr,3,,,2025-02-22
2025-02-23,L.A. Confidential,1997,https://boxd.it/8V6eu9,4,,,2025-02-22
2025-02-23,Property Is No Longer a Theft,1973,https://boxd.it/8VjgUf,4,,,2025-02-22
2025-02-25,Under the Silver Lake,2018,https://boxd.it/8WJEYr,4,,,2025-02-24
2025-02-26,Clockers,1995,https://boxd.it/8XpqaV,2.5,,,2025-02-26
2025-03-01,Waiting for the Carnival,2019,https://boxd.it/8YYZKN,4,,,2025-02-28
2025-03-02,The Prestige,2006,https://boxd.it/8ZxGSt,2,,,2025-03-01
2025-03-02,Dreams Like Paper Boats,2024,https://boxd.it/8ZDVyZ,3.5,,,2025-03-01
2025-03-09,Le Mans,1971,https://boxd.it/93SNGn,4.5,,,2025-03-08
2025-03-10,Mad Max,1979,https://boxd.it/94ClEv,2,,,2025-03-09
2025-03-10,Mad Max 2,1981,https://boxd.it/94Kh1F,4,,,2025-03-09
2025-03-10,Wicked,2024,https://boxd.it/953D4f,3.5,,,2025-03-09
2025-03-15,Martyrs,2008,https://boxd.it/97W4ex,4.5,,,2025-03-14
2025-03-17,The Butcher,1970,https://boxd.it/9957bN,4,,,2025-03-16
2025-03-18,The Brood,1979,https://boxd.it/99Wh8l,4.5,,,2025-03-17
2025-03-19,Assault on the Pay Train,1962,https://boxd.it/9amGaD,4,,,2025-03-18
2025-03-22,Z,1969,https://boxd.it/9bYqll,5,,,2025-03-21
2025-03-23,At Midnight I'll Take Your Soul,1964,https://boxd.it/9cIaKh,4,,,2025-03-23
2025-03-24,Love Lies Bleeding,2024,https://boxd.it/9d419P,3,,,2025-03-23
2025-03-24,Elite Squad,2007,https://boxd.it/9d8MN1,3,,,2025-03-23
2025-03-25,"Spring, Summer, Fall, Winter... and Spring",2003,https://boxd.it/9dXucD,4.5,,,2025-03-24
2025-03-27,Hour of the Star,1985,https://boxd.it/9eYLH5,3.5,,,2025-03-26
2025-04-01,The Matrix,1999,https://boxd.it/9hZrQl,4,,,2025-04-01
2025-04-02,Kid,2015,https://boxd.it/9igh0N,4,,,2025-04-01
2025-04-03,"White Out, Black In",2014,https://boxd.it/9iJHDp,4,,,2025-04-02
2025-04-04,La Jetée,1962,https://boxd.it/9j9I3T,5,,,2025-04-03
2025-04-04,Isle of Flowers,1989,https://boxd.it/9ja01h,5,,,2025-04-03
2025-04-04,This Is Not Your Life,1991,https://boxd.it/9jam8f,5,,,2025-04-03
2025-04-04,Subterrâneos do Futebol,1965,https://boxd.it/9jbmr9,4.5,,,2025-04-03
2025-04-04,Le Trou,1960,https://boxd.it/9jpbXL,4.5,,,2025-04-03
2025-04-09,Full Metal Jacket,1987,https://boxd.it/9m5Vop,4,,,2025-04-08
2025-04-11,High Noon,1952,https://boxd.it/9nfPSn,4,,,2025-04-10
2025-04-11,In a Lonely Place,1950,https://boxd.it/9niEh7,4,,,2025-04-10
2025-04-12,Death of a Cyclist,1955,https://boxd.it/9nx8sH,5,,,2025-04-11
2025-04-12,Assault on Precinct 13,1976,https://boxd.it/9nCmgZ,3.5,,,2025-04-11
2025-04-12,Jamon Jamon,1992,https://boxd.it/9nMMkt,4.5,,,2025-04-11
2025-04-14,The Day of the Jackal,1973,https://boxd.it/9oNH1R,2.5,,,2025-04-13
2025-04-14,Two-Lane Blacktop,1971,https://boxd.it/9p271V,5,,,2025-04-13
2025-04-14,Fast Company,1979,https://boxd.it/9p5TNz,1,,,2025-04-13
2025-04-14,Embrace of the Serpent,2015,https://boxd.it/9pd8xb,4,,,2025-04-13
2025-04-15,Zabriskie Point,1970,https://boxd.it/9pLokl,5,,,2025-04-15
2025-04-17,Stalker,1979,https://boxd.it/9qKn4D,5,,,2025-04-16
2025-04-18,Stroszek,1977,https://boxd.it/9r4Xyp,4,,,2025-04-17
2025-04-20,Diabolique,1955,https://boxd.it/9sHUph,3.5,,,2025-04-19
2025-04-21,A Lizard in a Woman's Skin,1971,https://boxd.it/9tmc0p,4.5,,,2025-04-20
2025-04-21,The Watermelon Woman,1996,https://boxd.it/9tsGvz,4.5,,,2025-04-20
2025-04-22,Ikarie XB 1,1963,https://boxd.it/9tXOrd,2,,,2025-04-21
2025-04-22,The Fly,1986,https://boxd.it/9u9ajH,4.5,,,2025-04-21
2025-04-22,The Devil's Advocate,1997,https://boxd.it/9ufpDJ,3,,,2025-04-21
2025-04-26,Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/9wkqJ7,4,,,2025-04-25
2025-04-27,The Thing,1982,https://boxd.it/9x1cLz,4,,,2025-04-26
2025-04-27,Zombie Flesh Eaters,1979,https://boxd.it/9x968d,4.5,,,2025-04-27
